clean_text_airl,airline_sentiment
virginamerica dhepburn say,1
virginamerica plus added commercial experience tacky,2
virginamerica today must mean need take another trip,1
virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse,0
virginamerica really big bad thing,0
virginamerica seriously would pay flight seat play really bad thing fly va,0
virginamerica yes nearly every time fly vx ear worm wont go away,2
virginamerica really miss prime opportunity men without hat parody https co mwpg grezp,1
virginamerica well tbut,2
virginamerica amaze arrive hour early good,2
virginamerica know suicide second lead cause death among teen,1
virginamerica lt pretty graphic much good minimal iconography,2
virginamerica great deal already think nd trip australia amp even go st trip yet p,2
virginamerica virginmedia fly fabulous seductive sky u take stress away travel http co ahlxhhkiyn,2
virginamerica thanks,2
virginamerica sfo pdx schedule still mia,0
virginamerica excite first cross country flight lax mco heard nothing great thing virgin america daystogo,2
virginamerica fly nyc sfo last week fully sit seat due two large gentleman either side help,0
fly virginamerica,2
virginamerica know would amazingly awesome bos fll please want fly,2
virginamerica first fare may three time carrier seat available select,0
virginamerica love graphic http co ut grrwaaa,2
virginamerica love hipster innovation feel good brand,2
virginamerica make bos gt la non stop permanently anytime soon,1
virginamerica guy mess seat reserve seating friend guy give seat away want free internet,0
virginamerica status match program apply three week call email response,0
virginamerica happen ur vegan food option least say ur site know able eat anything next hr fail,0
virginamerica miss worry together soon,1
virginamerica amaze get cold air vent vx noair worstflightever roast sfotobos,0
virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,1
virginamerica hi bked cool birthday trip add elevate cause enter middle name flight booking problem,0
virginamerica hour operation club sfo post online current,1
virginamerica help leave expensive headphone flight iad lax today seat one answer l amp f number lax,0
virginamerica await return phone call would prefer use online self service option,0
virginamerica great news america could start flight hawaii end year http co r p zy fe via pacificbiznews,2
nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience http co unxtqp,1
virginamerica moodlighting way fly best experience ever cool calm moodlitmonday,2
virginamerica freddieawards do do best airline around hand,2
virginamerica book flight hawaii,1
virginamerica chat support work site http co vhp gtdwpk,0
virginamerica view downtown los angeles hollywood sign beyond rain mountain http co dw nf ibtr,2
virginamerica hey first time flyer next week excite hard time get flight add elevate account help,0
virginamerica plz help win bid upgrade flight lax gt sea,1
virginamerica unused ticket move new city fly fly expires travelhelp,1
virginamerica flight leave dallas seattle time feb,1
virginamerica elevategold good reason rock,2
virginamerica dream http co oa drfaoq http co lwwdac khx,1
virginamerica wow blow mind,2
virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscar ladygaga think carrieunderwood agree,1
virginamerica ladygaga carrieunderwood entertain,1
virginamerica flight way suppose take minute ago website still show time flight thanks,1
virginamerica ladygaga carrieunderwood julie andrews way though ladygaga impressive carrieunderwood,2
virginamerica wish fly atlanta soon,1
virginamerica ladygaga carrieunderwood julie andrews hand,1
virginamerica flight leave dallas la february th,1
virginamerica hi excite lga gt dal deal try book since last week amp page never load thx,0
virginamerica know need spotify stat guiltypleasures,2
virginamerica ladygaga carrieunderwood lady gaga amaze,2
virginamerica ladygaga carrieunderwood carrie,1
virginamerica new marketing song http co f lfulcbq let u know think,1
virginamerica ladygaga carrieunderwood julie andrew first lady gaga wow last night carrie meh,1
virginamerica call week ago add flight elevate still show help,0
virginamerica ladygaga carrieunderwood great go carrieunderwood,1
virginamerica ladygaga carrieunderwood sorry mary martin first,1
virginamerica ladygaga carrieunderwood love three really beat classic,2
virginamerica flight dal dca pm try check could status please,1
virginamerica heyyyy guyyyys try get hour someone call please,0
virginamerica hi virgin hold minute earlier flight la nyc tonight earlier pm,0
virginamerica congrats win travelzoo award best deal airline u http co kj iljaebv,2
virginamerica everything fine lose bag,0
virginamerica need change reservation virgin credit card need modify phone waive change fee online,1
virginamerica email customer service team let know need track number,1
virginamerica hi book flight need add baggage,1
virginamerica airline awesome lax loft need step game dirty table floor http co hy vrfhjht,0
virginamerica worry great ride new plane great crew airline like,2
virginamerica awesome fly yall sit morning way correct bill,2
virginamerica watch best student film country foot cmfat foot http co kek pdmgif,1
virginamerica first time fly different rate policy medium bag thanks,1
virginamerica go customer service anyway speak human asap thank,0
virginamerica happen doom,1
virginamerica supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,0
virginamerica apply member inflight crew team im interested flightattendant dreampath g,2
virginamerica best whenever begrudgingly use airline delay late flight,0
virginamerica interest fly cancelled flight next four flight plan neverflyvirginforbusiness,0
virginamerica disappointing experience share every business traveler meet neverflyvirgin,0
virginamerica im trouble add flight wife book elevate account help http co px hqoks r,0
virginamerica bring reservation online use flight book problem code,1
virginamerica random q distribution elevate avatar bet kitty disproportionate share http co aptzpurop,1
virginamerica lt fly va life happen try change trip jperhi help va home page let,1
virginamerica site back,0
virginamerica rnp yeah know,1
virginamerica hi get point elevate account recent flight add flight point account,1
virginamerica like tv interest video disappoint cancel flightled flight flight go jfk saturday,0
virginamerica land lax hour late flight bag check business travel friendly nomorevirgin,0
virginamerica flight redirect,1
virginamerica website btw new website great user experience time another redesign,0
virginamerica check add bag website work tried desktop mobile http co avyqdmpi,0
virginamerica let scanned passenger leave plane tell someone remove bag st class bin uncomfortable,0
virginamerica phone number find call flight reservation,0
virginamerica anyone anything today website useless one answer phone,0
virginamerica try add boy prince ressie sf thursday virginamerica lax http co gsb j c gm,1
virginamerica must traveler miss flight late flight check bag miss morning appointment lose business sfo lax,0
virginamerica check new music http co marcnocwzn,1
virginamerica direct flight fll gt sfo unexpected layover vegas fuel yet peeps next bought vega flight sneaky,0
virginamerica late flight bag check lose business miss flight apt three people flight exp,0
virginamerica amaze customer service raeann sf best customerservice virginamerica fly,2
virginamerica call service line hang awesome sarcasm,0
virginamerica site trip try check get plain text version reluctant enter card info,0
virginamerica schedule sfo dal flight today change th due weather look like flight still,1
virginamerica getaway deal may one way lots cool city http co tzzjhuibch cheapflights farecompare,2
virginamerica getaway deal may one way lots cool city http co rpdbpx wnd cheapflights farecompare,1
virginamerica getaway deal may one way lots cool city http co b xi yg cheapflights farecompare,2
virginamerica getaway deal may one way lots cool city http co qdljhsloi cheapflights farecompare,1
virginamerica great week,2
virginamerica come back phl already need take u horrible cold pleasecomeback http co glxfwp nqh,2
virginamerica concern fly plane need delay due tech stop,0
virginamerica best airline fly easy change reservation helpful representative amp comfortable fly experience,2
virginamerica another rep kick butt naelah represent team beautifully thank,2
virginamerica beautiful front end design right cool still book ticket b c back end secure,2
virginamerica love team run gate e la tonight wait delayed flight keep thing entertain,2
virginamerica use another browser amp brand reputation build tech response cross browser compatible website,0
virginamerica flight flight book problem site totally folk problem,0
virginamerica like customer service min delay connect passenger seem long va,0
virginamerica thanks outstanding nyc jfk crew move mountain get home san francisco tonight,2
virginamerica absolute best team customer service ever every time fly delight thank,2
virginamerica provide complimentary upgrade first class available seat,1
virginamerica need change flight thats schedule hour min wait time phone im call intern help,0
virginamerica completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue,2
virginamerica watch oscars jfk gt sfo flight,1
virginamerica flight cancel flightled,1
virginamerica fail customer check process link tsa pre check,0
virginamerica fidifamilies u terrible airline give u hotel hotline number say sorry,0
virginamerica flight number sfo cabo san lucas arrive yet,1
virginamerica chrysichrysic assistance yesterday u cancel flightled flight give u hotel hotline shame,0
virginamerica another delay flight likingyoulessandless,0
virginamerica need register service dog first class ticket sfo gt dull phone queue hour longer pls advise,0
virginamerica rock make watch oscar flight redcarpet oscar oscar,2
virginamerica reallytallchris drop track http co zv pt trk,1
virginamerica always xoxo,2
virginamerica book seat flight buy even check creates much anxiety frustrate,0
virginamerica think pay extra buck rt luggage might afford hire extra hand sfo lame,0
virginamerica best customer service rep world irmafromdallas take cake,2
virginamerica find u flt lax sooner midnight monday would great customer service,1
virginamerica please provide status flight cant imagine time web indicate dude weather dallas,0
virginamerica amazing staff amp super helpful run waltdisneyworld princesshalf spoil comfort,2
virginamerica pay premium fly across country cancel flight flight offer check fee upgrade love sad face,0
virginamerica question possible book seat infant give option want seat,0
always together welcome rt virginamerica jessicajaymes welcome,2
virginamerica flight home dc sunset globe backtowinter back work refresh http co vx vbctdlf,2
virginamerica understand need dm give answer damage luggage policy,0
virginamerica mean policy destroy luggage,0
virginamerica special assistance travel alone w kid infant priority boarding,1
virginamerica thank check ticket purchase customer happy,2
virginamerica website ever come back online,1
virginamerica flight love field sfo definitely cancel flightled monday february,1
virginamerica flight lga dfw time,1
virginamerica driver license expired little month fly friday morning use expire license,1
virginamerica problem flight book problem web site keep give error contact phone phone minute wait,0
virginamerica reschedule cancel flightled flight online change button grey,0
virginamerica rang wait minute book ticket vendor fix site,0
virginamerica get flight tell today check email tomorrow unacceptable,0
virginamerica flight lga cancel flighted stuck dallas call reschedule told could get flight today,0
virginamerica pairing include red wine white offer redwineisbetter,0
virginamerica website,0
virginamerica site seem little wonked right may want look tried two browser css http co qsqmm kf,0
virginamerica disappoint agent designate silver status check line dull airport close assist pasengers,0
virginamerica plan include austin dallas route topnews arab emirates http co aqzwecokk,1
virginamerica normal receive reply central baggage baggageissues smh,0
virginamerica logan airport wait checkin flight checkin desk open,0
virginamerica jump dallas austin market dallas news http co ewwgi gdx,1
virginamerica beat eps view take southwestair va luv investor business daily http co flwmgdahxu,1
virginamerica lister show monday,1
virginamerica begin dallas austin flight april ketr http co ssuvwwkyhh,1
virginamerica congrats get business ewr sfo lax fuck united fl sfo ewr clincher,0
virginamerica apply week ago hear back fly week disappoint,0
virginamerica love know policy damage luggage,1
virginamerica thank follow,2
virginamerica many apology r bad airline even respond cudtomers,0
virginamerica shame va make people spend money strand city airline land jfk reimburse,0
virginamerica ttinac dm,1
virginamerica please flight sjc choice fly southwest vega,1
virginamerica bad say take day via confirmation email inquired week claim week,0
virginamerica flight bos gt la tomorrow cancel flightled notification wait time hour rebook another airline,0
rt virginamerica youve meet match get status another airline upgrade restr http co rhkamx vf http co pyalebgkjt,2
virginamerica way fly elevate gold,2
virginamerica guy flight cmh,1
virginamerica lot apology thrown customer see sad thanks nothing bad airline ever,0
virginamerica flight stuff wrong nothing bad flight ever,0
virginamerica issue find miss item plane help find airport plane head next,1
virginamerica match americanairlines status cool,2
virginamerica meet match get status another airline upgrade http co h rdktqy asarco e ar,1
virginamerica try book flight guy website let lose business,0
virginamerica suck,0
virginamerica thanks,2
virginamerica dm issue persist,0
virginamerica never rec cancelled flightlation notice leave w option fly ps drive la red eye mon w kid,0
virginamerica try book flight amp site,0
virginamerica flight fly boston tomorrow need home cancel flightled flight anything,0
virginamerica stink flight cancel flighted psp jfk notification ability rebook disappoint expect well,0
virginamerica love guy song dance high school dance revue,2
virginamerica website try check,0
virginamerica do thank quick response apparently faster sit hold,2
virginamerica nervous flight dc lax get cancel flightled tomorrow send dm help,1
virginamerica cool picture another virginamerica plane wing site http co b agfd c,2
virginamerica keep great work,2
virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny,2
virginamerica thanks great flight la boston pilot great job landing snow go back la seriously,2
virginamerica please get new york area monday afternoon,1
virginamerica thanks much awesome support guy rock,2
virginamerica seat row recline mention website soreback,0
