clean_text_fin_news,Sentiment
geosolutions technology leverage benefon gps solution provide location base search technology community platform location relevant multimedia content new powerful commercial model,2
esi low bk real possibility,0
last quarter componenta net sale double eur eur period year earlier move zero pre tax profit pre tax loss eur,2
accord finnish russian chamber commerce major construction company finland operate russia,1
swedish buyout firm sell remain percent stake almost eighteen month take company public finland,1
spy surprise see green close,2
shell billion bg deal meet shareholder skepticism,0
ssh communication security corp stock exchange release october pm company update full year outlook estimate result remain loss full year,0
kone net sale rise year year first nine month,2
stockmann department store total floor space square metres stockmann investment project price tag eur million,1
circulation revenue increase finland sweden,2
sap q disappoints software license real problem cloud growth trail msft orcl goog crm adbe http co jndphllzq,0
subdivision make sale revenue last year eur million eur million operate profit eur million eur million,2
viking line cancel service,1
ahlstrom corporation stock exchange announcement total new share ahlstrom corporation subscribe option right company stock option program ii,1
fb go green day,2
msft sql server revenue grow double digit sql server premium revenue grow http stks co ir f,2
accord l ñnnen tehtaat ceo matti karppinen company aim deliver fish product customer day earlier currently,1
company share quote nasdaq omx helsinki rautaruukki oyj rtrks,1
elcoteq se list nasdaq omx helsinki ltd,1
two contract turntable anode vibrocompactors deliver gansu hualu aluminum co ltd another unnamed costumer,1
aviva friends life top forecast ahead billion pound merger,2
stead base soft drink usual teho energy drink make fresh water,1
company plan increase unit specialist staff several dozen depend market situation,1
company close last year turnover four million euro,1
shire ceo step drive get baxalta board talk,2
costco premier retail dividend play https co fa cnh cost,2
five storey eco efficient build gross floor area sq also include apartment,1
first installment cinema series conclude profile finnish inventor olavi linden whose personal artistic journey work fiskars lead dozen design award,1
welcome,1
stockmann swedish sector company ab lindex enter agreement september whereby stockmann wholly own subsidiary make public tender offer lindex issue share,2
huhtamaki oyj stock exchange release huhtamaki capital market day institutional investor analyst hold espoo september start pm finnish time,1
pleased welcome tapeks noma cramo group,2
profit tax eur million,1
royal dutch shell buy bg group nearly billion,2
financialwire tm press release service receive compensation news opinion distribution,1
assa abloy kaupthing bank give neutral recommendation share price target crown euro swedish lock maker assa abloy ab,1
item include restructuring cost eur year earlier eur dilute eps stand eur versus loss per share eur,2
bank post net profit lt mn,1
aapl afternoon selloff usual brutal get ready lose ton money,0
tsla recall pretty much every single model x cnnbrk get short even work jump money trade,0
dolce gabbana ask european union declare marimekko corporation unikko floral pattern trademark invalid continue dispute two company,0
intercontinental hotel first quarter global room revenue lag estimate,0
accord finnish pension insurance company varma varma recipient two third revenue earnings related pension cover competitive tendering finland,2
portion million record part winning prior patent dispute finnish phone maker nokia oyj,2
l g still pay price dividend cut crisis chief say,0
volume investment two phase project estimate usd mn eur mn,1
russia account lagardere magazine division revenue eur mn usd mn usa,1
company also estimate already carry investment lead increase net sale reach eur million,2
profit accounting period eur mn,1
six brewery record percent growth domestic beer sale last year million liter million liter sell,2
august october company result tax total eur mn eur mn corresponding period,2
systeemitiimi sale project resource also strengthen director paul skogberg say,2
tesco share price jump q sale top estimate,2
fine print,1
price log clearly improve also price pulpwood go,2
thus sysopen digia accordance chapter section finnish company act obtain title share sentera redeem,1
dilute earnings per share eps fell eur eur,1
p eastern time block contract change hand bid price,1
recent technology delivery include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sinter plant bhushan steel,1
vip similar pattern like begin may u sell go much high drop,2
firm generate sale mln eur,1
stora enso also meeting labor authority employment economic development centre representative government order find solution,1
astrazeneca profit sale stalwart fade,0
rt andrewnyquist chartology yahoo http stks co itr yhoo crazy look chart near breakout resistance line,2
bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scty http co iuzjelfwt,2
finnish geosentric net sale decrease eur january march,0
cohen steer inc share represent share capital voting right,1
